About,O,
Apps,Aplikacije,
Frappe Support,Frappe podrška,
Is Group,Grupa,
Keyboard Shortcuts,Prečice na tastaturi,
Left,Levo,
Log out,Odjavite se,
Reload,Ponovno učitavanje,
Right,Desno,
Session Defaults,Podrazumevane vrednosti sesije,
System Health,Stanje sistema,
System Manager,Sistem menadžer,
Toggle Full Width,Prebaci u punu širinu,
Toggle Theme,Promeni temu,
User Settings,Podešavanje korisnika,
View Website,Prikaži veb-sajt,
Workspace Settings,Podešavanje radnog prostora,
